;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3;Energy_J;M_[g]*;Lower values;Dominant values
1;TATTU;TATTU;11.1;1550;45;90;128;69.75;63648.0;134.4140625;139.5;12097.26563;270314.8567;61938.0;112.48897058823529;0.0;1.0
2;TATTU;TATTU;11.1;1800;45;90;156;81.0;64032.0;128.0769231;162.0;11526.92308;312031.4843;71928.0;130.63235294117646;0.0;1.0
3;TATTU;TATTU;11.1;2300;45;90;179;103.5;76230.0;142.6256983;207.0;12836.31285;334907.5167;91908.0;166.9191176470588;0.0;1.0
4;TATTU;TATTU;11.1;1050;45;90;85;47.25;44676.0;137.1176471;94.5;12340.588240000001;260878.3239;41958.0;76.20220588235294;0.0;1.0
7;TATTU;TATTU;14.8;1800;45;90;202;81.0;86304.0;131.8811881;162.0;11869.306929999999;308676.307;95904.0;174.1764705882353;0.0;1.0
8;TATTU;TATTU;14.8;2300;45;90;224;103.5;100638.8951;151.96428569999998;207.0;13676.78571;338239.0076;122544.0;222.55882352941177;0.0;1.0
11;GENS ACE;GENS ACE;22.2;3300;60;120;506;198.0;253176.0;144.78260869999997;396.0;17373.91304;289363.9208;263736.0;478.985294117647;0.0;1.0
12;GENS ACE;GENS ACE;22.2;4000;60;120;636;240.0;298461.9463;139.62264150000001;480.0;16754.71698;297525.3666;319680.0;580.5882352941177;0.0;1.0
13;GENS ACE;GENS ACE;22.2;5000;60;120;755;300.0;357239.0874;147.0198675;600.0;17642.38411;310716.2791;399600.0;725.7352941176471;0.0;1.0
14;GENS ACE;GENS ACE;22.2;5500;60;120;828;330.0;317814.0;147.46376809999998;660.0;17695.652169999998;384186.9773;439560.0;798.3088235294117;0.0;1.0
29;ProLiteX;TP500-2SPX25J;7.4;500;25;50;30;25.0;14310.0;123.33333329999999;25.0;6166.666667;258560.4472;13320.0;24.191176470588236;0.0;1.0
30;ProLiteX;TP500-3SPX25J;11.1;500;25;50;44;25.0;20670.0;126.1363636;25.0;6306.818182;268505.0798;19980.0;36.286764705882355;0.0;1.0
31;ProLiteX;TP750-2SPX25J;7.4;750;25;50;39;37.5;20460.0;142.3076923;37.5;7115.384615000001;271260.9971;19980.0;36.286764705882355;0.0;1.0
32;ProLiteX;TP750-3SPX25J;11.1;750;25;50;57;37.5;30690.0;146.05263159999998;37.5;7302.631579000001;271260.9971;29970.0;54.43014705882353;0.0;1.0
33;ProLiteX;TP910-2SPX25J;7.4;910;25;50;47;22.7;23075.0;143.2765957;45.5;7163.829787000001;291830.9859;24242.4;44.027941176470584;0.0;1.0
34;ProLiteX;TP910-3SPX25J;11.1;910;25;50;69;45.5;33725.0;146.3913043;45.5;7319.565217;299510.7487;36363.6;66.04191176470587;0.0;1.0
41;ProLiteX;TP2200-2SPX25;7.4;2200;25;50;107;110.0;49980.0;152.14953269999998;110.0;7607.476636;325730.2921;58608.0;106.44117647058825;0.0;1.0
51;ProLiteX;TP3400-2SPX25;7.4;3400;25;50;166;170.0;75465.0;151.56626509999998;170.0;7578.313253;333399.5892;90576.0;164.5;0.0;1.0
52;ProLiteX;TP3400-3SPX25;11.1;3400;25;50;252;170.0;110295.0;149.76190480000002;170.0;7488.095238;342173.2626;135864.0;246.75;0.0;1.0
107;RAMPAGE;TP325-1SR70J;3.7;325;70;140;12;45.5;5625.0;100.20833329999999;45.5;14029.166669999999;213777.7778;4329.0;7.862132352941176;0.0;1.0
108;RAMPAGE;TP325-2SR70B;7.4;325;70;140;23;45.5;12375.0;104.56521740000001;45.5;14639.130430000001;194343.4343;8658.0;15.724264705882351;0.0;1.0
112;RAMPAGE;TP870-4SR70;14.8;870;70;140;101;121.8;50220.0;127.48514850000001;121.8;17847.92079;256391.8757;46353.6;84.18529411764705;0.0;1.0
115;RAMPAGE;TP1800-3SR70;11.1;1800;70;140;150;252.0;71280.0;133.2;252.0;18648.0;280303.0303;71928.0;130.63235294117646;0.0;1.0
116;RAMPAGE;TP1800-4SR70;14.8;1800;70;140;196;252.0;92070.0;135.91836730000003;252.0;19028.57143;289345.0635;95904.0;174.1764705882353;0.0;1.0
118;RAMPAGE;TP1800-6SR70;22.2;1800;70;140;291;252.0;136620.0;137.3195876;252.0;19224.74227;292490.1186;143856.0;261.2647058823529;0.0;1.0
119;RAMPAGE;TP2250-2SR70;7.4;2250;70;140;119;315.0;62424.0;139.9159664;315.0;19588.23529;266724.3368;59940.0;108.86029411764706;0.0;1.0
121;RAMPAGE;TP2700-3SR70;11.1;2700;70;140;216;378.0;100620.0;138.75;378.0;19425.0;297853.3095;107892.0;195.9485294117647;0.0;1.0
122;RAMPAGE;TP3300-6SR70;22.2;3300;70;140;515;462.0;242520.0;142.2524272;462.0;19915.339809999998;302078.1791;263736.0;478.985294117647;0.0;1.0
124;RAMPAGE;TP3300-10SR70;37.0;3300;70;140;859;462.0;400158.0;142.1420256;462.0;19899.88359;305129.4739;439560.0;798.3088235294117;0.0;1.0
126;RAMPAGE;TP3850-7SR70;25.9;3850;70;140;700;539.0;327888.0;142.45;539.0;19943.0;304112.9898;358974.0;651.9522058823529;0.0;1.0
128;RAMPAGE;TP5000-4SR70;14.8;5000;70;140;515;700.0;236808.0;143.6893204;700.0;20116.50485;312489.4429;266400.0;483.82352941176475;0.0;1.0
129;RAMPAGE;TP5000-5SR70;18.5;5000;70;140;650;700.0;294216.0;142.3076923;700.0;19923.07692;314394.8664;333000.0;604.7794117647059;0.0;1.0
