Model;Imax.in[A];m[g];Vmax.in[V];Pmax.in[W]
Jive 80+ LV ;80;84;22.2;1776
Jive 100+ LV ;100;92;22.2;2220
FAI Jive 150+ LV ;150;140;18.5;2775
Jive 60+ HV ;60;84;44.4;2664
Jive 80+ HV ;80;84;44.4;3552
Powerkive 120+ HV ;120;140;44.4;5328
Kosmik 160+ HV ;160;200;51.8;8288
Kosmik 200+ HV ;200;200;51.8;10360
YGE 7 S ;7;0.7;7.4;52
YGE 8 S ;8;4.9;11.1;89
YGE 12 S ;12;6;11.1;133
YGE 18 ;18;14;14.8;266
YGE 30 ;30;21;14.8;444
YGE 40 ;40;35;22.2;888
YGE 60 ;60;35;22.2;1332
YGE 80 ;80;55;22.2;1776
YGE 100 ;100;69;22.2;2220
YGE 120 ;120;71;22.2;2664
YGE 160 FAI ;160;79;22.2;3552
YGE 60 HV ;60;49;44.4;2664
YGE 90 HV ;90;79;44.4;3996
YGE 150 HV FAI ;150;89;44.4;6660
YGE 200 HV FAI ;200;119;44.4;8880
YGE 120 HV ;120;119;51.8;6216
YGE 160 HV ;160;156;51.8;8288
MasterSPIN 11 ;11;12;14.8;163
MasterSPIN 22 ;22;18;14.8;326
MasterSPIN 33 ;33;30;18.5;611
MasterSPIN 44 ;44;40;22.2;977
MasterSPIN 55 ;55;56;25.9;1425
MasterSPIN 66 ;66;50;22.2;1465
MasterSPIN 70 Opto ;70;50;22.2;1554
MasterSPIN 48 Opto ;48;45;37;1776
MasterSPIN 75 0pto ;75;55;37;2775
MasterSPIN 77 0pto ;77;105;44.4;3419
MasterSPIN 99 0pto ;99;105;44.4;4396
MasterSPIN 125 Opto ;125;160;44.4;5550
MasterSPIN 170 Opto ;170;270;51.8;8806
MasterSPIN 220 Opto ;220;460;51.8;11396
SPIN 11 ;11;12;14.8;163
SPIN 22 ;22;26;14.8;326
SPIN 33 ;33;32;18.5;611
SPIN 44 ;44;44;22.2;977
SPIN 55 ;55;60;29.6;1628
SPIN 66 ;70;56;22.2;1554
SPIN 44 OPTO ;44;35;22.2;977
SPIN 66 OPTO ;70;45;22.2;1554
SPIN 48 OPTO ;48;45;37;1776
SPIN 75 OPTO ;75;55;37;2775
SPIN 77 OPTO ;77;110;44.4;3419
SPIN 99 OPTO ;90;110;44.4;3996
SPIN 125 OPTO ;125;120;44.4;5550
SPIN 200 OPTO ;170;326;51.8;8806
SPIN 300 OPTO ;220;360;51.8;11396
Turnigy Monster 2000 ;200;335;44.4;8880
Turnigy K-Force ;150;169;22.2;3330
Turnigy K-Force ;120;169;44.4;5328
Turnigy dlux 80HV ;80;153;44.4;3552
Turnigy Superbrain ;100;109;44.4;4440
Turnigy Superbrain ;60;69;22.2;1332
Turnigy Superbrain ;80;69;22.2;1776
Turnigy Superbrain ;45;68;22.2;999
Turnigy K_Force 70HV ;70;115;44.4;3108
Turnigy K-Force 100 ;100;115;22.2;2220
Turnigy K-Force 40 ;40;38;22.2;888
Turnigy dlux 55 ;55;110;22.2;1221
Turnigy dlux 70 ;70;110;22.2;1554
Turnigy Plush 80 ;80;120;22.2;1776
Turnigy Plush 40 ;40;79;22.2;888
Turnigy Plush 60 ;60;75;22.2;1332
Turnigy Plush 30 ;30;55;14.8;444
Turnigy Trust 70 ;70;79;22.2;1554
Turnigy Trust 55 ;55;79;22.2;1221
Turnigy Trust 45 ;45;69;22.2;999
