;Model;Imax.in[A];m[g];Vmax.in[V];Pmax.in[W];Dominated
7;Kosmik 200+ HV ;200;200.0;51.8;10360;0
8;YGE 7 S ;7;0.7;7.4;52;0
9;YGE 8 S ;8;4.9;11.1;89;0
10;YGE 12 S ;12;6.0;11.1;133;0
11;YGE 18 ;18;14.0;14.8;266;0
12;YGE 30 ;30;21.0;14.8;444;0
13;YGE 40 ;40;35.0;22.2;888;0
14;YGE 60 ;60;35.0;22.2;1332;0
18;YGE 160 FAI ;160;79.0;22.2;3552;0
19;YGE 60 HV ;60;49.0;44.4;2664;0
20;YGE 90 HV ;90;79.0;44.4;3996;0
21;YGE 150 HV FAI ;150;89.0;44.4;6660;0
22;YGE 200 HV FAI ;200;119.0;44.4;8880;0
25;MasterSPIN 11 ;11;12.0;14.8;163;0
26;MasterSPIN 22 ;22;18.0;14.8;326;0
27;MasterSPIN 33 ;33;30.0;18.5;611;0
32;MasterSPIN 48 Opto ;48;45.0;37.0;1776;0
33;MasterSPIN 75 0pto ;75;55.0;37.0;2775;0
38;MasterSPIN 220 Opto ;220;460.0;51.8;11396;0
39;SPIN 11 ;11;12.0;14.8;163;0
41;SPIN 33 ;33;32.0;18.5;611;0
45;SPIN 44 OPTO ;44;35.0;22.2;977;0
46;SPIN 66 OPTO ;70;45.0;22.2;1554;0
47;SPIN 48 OPTO ;48;45.0;37.0;1776;0
48;SPIN 75 OPTO ;75;55.0;37.0;2775;0
53;SPIN 300 OPTO ;220;360.0;51.8;11396;0
